,meta_score,title,platform,date,user_score,link,esrb_rating,developers,genres
799,,Soccer,WII,"Nov 19, 2006",,/game/wii/soccer,E,['Nintendo'],"['Soccer', 'Sports', 'Sim', 'Traditional']"
800,,Wario's Woods,WII,"Nov 19, 2006",,/game/wii/warios-woods,E,['Nintendo'],"['Miscellaneous', 'Puzzle', 'General']"
801,,Nintendo Wii,WII,"Nov 19, 2006",8.1,/game/wii/nintendo-wii,E,['Nintendo'],"['Console', 'Hardware']"
802,81.0,Yoshi's Island DS,DS,"Nov 13, 2006",7.5,/game/ds/yoshis-island-ds,E,['Artoon'],"['Action', '2D', 'Platformer']"
803,87.0,Elite Beat Agents,DS,"Nov 6, 2006",8.5,/game/ds/elite-beat-agents,E10+,['iNiS'],"['Rhythm', 'Action', 'Music', 'Miscellaneous']"
804,83.0,Final Fantasy V Advance,GBA,"Nov 6, 2006",8.2,/game/game-boy-advance/final-fantasy-v-advance,E,['TOSE'],"['Role-Playing', 'Console-style RPG']"
805,65.0,Children of Mana,DS,"Nov 1, 2006",6.1,/game/ds/children-of-mana,E10+,['Nex Entertainment'],"['Role-Playing', 'Action RPG']"
806,69.0,Pokemon Ranger,DS,"Oct 30, 2006",7.4,/game/ds/pokemon-ranger,E,['HAL Labs'],"['Role-Playing', 'Action RPG']"
807,69.0,Magical Starsign,DS,"Oct 23, 2006",8.1,/game/ds/magical-starsign,E,['Brownie Brown'],"['Role-Playing', 'Console-style RPG', 'General', 'Japanese-Style']"
808,83.0,Nintendogs: Dalmatian & Friends,DS,"Oct 16, 2006",7.4,/game/ds/nintendogs-dalmatian-friends,E,['Nintendo'],"['Simulation', 'Virtual', 'Pet', 'Miscellaneous', 'Virtual Life']"
809,83.0,Clubhouse Games,DS,"Oct 9, 2006",7.8,/game/ds/clubhouse-games,E,['Agenda'],"['Party / Minigame', 'Board / Card Game', 'Miscellaneous', 'Board Games']"
810,76.0,Mario vs. Donkey Kong 2: March of the Minis,DS,"Sep 25, 2006",7.9,/game/ds/mario-vs-donkey-kong-2-march-of-the-minis,E,"['Nintendo', ' Nintendo Software Technology']","['Action', '2D', 'Platformer']"
811,75.0,Baten Kaitos Origins,GC,"Sep 25, 2006",8.4,/game/gamecube/baten-kaitos-origins,T,"['Monolith Soft', ' Namco Bandai Games']","['Role-Playing', 'Console-style RPG']"
812,62.0,Pokemon Mystery Dungeon: Blue Rescue Team,DS,"Sep 18, 2006",8.1,/game/ds/pokemon-mystery-dungeon-blue-rescue-team,E,['ChunSoft'],"['Role-Playing', 'Console-style RPG', 'Roguelike']"
813,67.0,Pokemon Mystery Dungeon: Red Rescue Team,GBA,"Sep 18, 2006",8.3,/game/game-boy-advance/pokemon-mystery-dungeon-red-rescue-team,E,['ChunSoft'],"['Role-Playing', 'Console-style RPG']"
814,69.0,Mario Hoops: 3 on 3,DS,"Sep 11, 2006",7.7,/game/ds/mario-hoops-3-on-3,E,['Square Enix'],"['Basketball', 'Arcade', 'Traditional', 'Team', 'Sports']"
815,76.0,Star Fox Command,DS,"Aug 28, 2006",7.0,/game/ds/star-fox-command,E10+,['Q-Games'],"['Simulation', 'Arcade', 'Combat', 'Third-Person', 'Action', 'Flight', 'Sci-Fi', 'Shooter']"
816,37.0,Tenchu: Dark Secret,DS,"Aug 21, 2006",5.8,/game/ds/tenchu-dark-secret,T,"['From Software', ' Polygon Magic']","['Historic', 'General', 'Action Adventure']"
817,62.0,Sudoku Gridmaster,DS,"Jun 26, 2006",6.3,/game/ds/sudoku-gridmaster,E,['AI'],"['Miscellaneous', 'Puzzle', 'Logic']"
818,74.0,Big Brain Academy,DS,"Jun 5, 2006",7.5,/game/ds/big-brain-academy,E,['Nintendo'],"['Miscellaneous', 'Edutainment']"
