,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
58,frozenset({'Arcade'}),frozenset({'Traditional'}),0.06408952187182096,0.03967446592065107,0.022380467955239063,0.3492063492063492,8.801790801790801,0.01983775040386468,1.4756221621219263
59,frozenset({'Traditional'}),frozenset({'Arcade'}),0.03967446592065107,0.06408952187182096,0.022380467955239063,0.5641025641025641,8.801790801790801,0.01983775040386468,2.147088743941117
60,frozenset({'Racing'}),frozenset({'Automobile'}),0.044760935910478125,0.014242115971515769,0.014242115971515769,0.31818181818181823,22.340909090909093,0.013604625531285153,1.4457782299084436
61,frozenset({'Automobile'}),frozenset({'Racing'}),0.014242115971515769,0.044760935910478125,0.014242115971515769,1.0,22.340909090909093,0.013604625531285153,inf
62,frozenset({'Compilation'}),frozenset({'Miscellaneous'}),0.015259409969481181,0.2685656154628688,0.015259409969481181,1.0,3.723484848484848,0.011161257139427231,inf
63,frozenset({'Miscellaneous'}),frozenset({'Compilation'}),0.2685656154628688,0.015259409969481181,0.015259409969481181,0.056818181818181816,3.723484848484848,0.011161257139427231,1.0440623123215138
64,frozenset({'Console-style RPG'}),frozenset({'Japanese-Style'}),0.0508646998982706,0.03458799593082401,0.014242115971515769,0.27999999999999997,8.095294117647057,0.0124828079384118,1.3408500056516335
65,frozenset({'Japanese-Style'}),frozenset({'Console-style RPG'}),0.03458799593082401,0.0508646998982706,0.014242115971515769,0.4117647058823529,8.095294117647057,0.0124828079384118,1.61353001017294
66,frozenset({'Role-Playing'}),frozenset({'Console-style RPG'}),0.1363173957273652,0.0508646998982706,0.0508646998982706,0.373134328358209,7.335820895522388,0.04393095647368438,1.5140967882575207
67,frozenset({'Console-style RPG'}),frozenset({'Role-Playing'}),0.0508646998982706,0.1363173957273652,0.0508646998982706,1.0,7.335820895522389,0.04393095647368438,inf
68,frozenset({'Trainer'}),frozenset({'Console-style RPG'}),0.038657171922685654,0.0508646998982706,0.015259409969481181,0.3947368421052632,7.760526315789474,0.013293124520717924,1.5681365827767706
69,frozenset({'Console-style RPG'}),frozenset({'Trainer'}),0.0508646998982706,0.038657171922685654,0.015259409969481181,0.3,7.760526315789474,0.013293124520717924,1.3733468972533063
70,frozenset({'Kart'}),frozenset({'Driving'}),0.01627670396744659,0.03967446592065107,0.01627670396744659,1.0,25.205128205128204,0.015630934430589605,inf
71,frozenset({'Driving'}),frozenset({'Kart'}),0.03967446592065107,0.01627670396744659,0.01627670396744659,0.41025641025641024,25.205128205128204,0.015630934430589605,1.6680525454465036
72,frozenset({'Driving'}),frozenset({'Racing'}),0.03967446592065107,0.044760935910478125,0.03967446592065107,1.0,22.340909090909093,0.037898599694294356,inf
73,frozenset({'Racing'}),frozenset({'Driving'}),0.044760935910478125,0.03967446592065107,0.03967446592065107,0.8863636363636365,22.340909090909093,0.037898599694294356,8.450864699898279
74,frozenset({'Miscellaneous'}),frozenset({'Edutainment'}),0.2685656154628688,0.024415055951169887,0.024415055951169887,0.0909090909090909,3.723484848484848,0.017858011423083568,1.073143438453713
75,frozenset({'Edutainment'}),frozenset({'Miscellaneous'}),0.024415055951169887,0.2685656154628688,0.024415055951169887,1.0,3.723484848484848,0.017858011423083568,inf
76,frozenset({'Strategy'}),frozenset({'Fantasy'}),0.0844354018311292,0.08646998982706001,0.04679552390640895,0.5542168674698795,6.4093550673281365,0.039494395569027486,2.049270022820379
77,frozenset({'Fantasy'}),frozenset({'Strategy'}),0.08646998982706001,0.0844354018311292,0.04679552390640895,0.5411764705882354,6.4093550673281365,0.039494395569027486,1.9954613037013855
78,frozenset({'Tactics'}),frozenset({'Fantasy'}),0.06408952187182096,0.08646998982706001,0.03560528992878942,0.5555555555555555,6.424836601307189,0.03006346962451192,2.0554425228891144
79,frozenset({'Fantasy'}),frozenset({'Tactics'}),0.08646998982706001,0.06408952187182096,0.03560528992878942,0.411764705882353,6.42483660130719,0.03006346962451192,1.5910478128179046
80,frozenset({'Turn-Based'}),frozenset({'Fantasy'}),0.07222787385554426,0.08646998982706001,0.04170905391658189,0.5774647887323943,6.678210439105219,0.0354635103990628,2.1620210240759574
81,frozenset({'Fantasy'}),frozenset({'Turn-Based'}),0.08646998982706001,0.07222787385554426,0.04170905391658189,0.4823529411764706,6.678210439105219,0.0354635103990628,1.7922870618699716
82,frozenset({'First-Person'}),frozenset({'Shooter'}),0.017293997965412006,0.03662258392675483,0.013224821973550356,0.7647058823529411,20.880718954248366,0.012591471081632928,4.094354018311291
83,frozenset({'Shooter'}),frozenset({'First-Person'}),0.03662258392675483,0.017293997965412006,0.013224821973550356,0.3611111111111111,20.880718954248362,0.012591471081632928,1.538148524923703
84,frozenset({'Miscellaneous'}),frozenset({'General'}),0.2685656154628688,0.23601220752797558,0.10274669379450661,0.38257575757575757,1.6209998693834902,0.039361930023005545,1.237379001304383
85,frozenset({'General'}),frozenset({'Miscellaneous'}),0.23601220752797558,0.2685656154628688,0.10274669379450661,0.4353448275862069,1.62099986938349,0.039361930023005545,1.2953647115466749
86,frozenset({'Puzzle'}),frozenset({'General'}),0.10681586978636826,0.23601220752797558,0.056968463886063074,0.5333333333333333,2.259770114942529,0.03175861465876151,1.637116698154338
87,frozenset({'General'}),frozenset({'Puzzle'}),0.23601220752797558,0.10681586978636826,0.056968463886063074,0.2413793103448276,2.259770114942529,0.03175861465876151,1.177379080736151
88,frozenset({'Sports'}),frozenset({'Golf'}),0.06408952187182096,0.01017293997965412,0.01017293997965412,0.15873015873015872,15.603174603174601,0.009520961120327355,1.1765868826656942
89,frozenset({'Golf'}),frozenset({'Sports'}),0.01017293997965412,0.06408952187182096,0.01017293997965412,1.0,15.603174603174603,0.009520961120327355,inf
90,frozenset({'Golf'}),frozenset({'Traditional'}),0.01017293997965412,0.03967446592065107,0.01017293997965412,1.0,25.205128205128204,0.009769334019118505,inf
91,frozenset({'Traditional'}),frozenset({'Golf'}),0.03967446592065107,0.01017293997965412,0.01017293997965412,0.25641025641025644,25.205128205128208,0.009769334019118505,1.3311467358894307
92,frozenset({'Individual'}),frozenset({'Sports'}),0.018311291963377416,0.06408952187182096,0.018311291963377416,1.0,15.603174603174603,0.01713773001658924,inf
93,frozenset({'Sports'}),frozenset({'Individual'}),0.06408952187182096,0.018311291963377416,0.018311291963377416,0.2857142857142857,15.603174603174603,0.01713773001658924,1.3743641912512716
94,frozenset({'Role-Playing'}),frozenset({'Japanese-Style'}),0.1363173957273652,0.03458799593082401,0.03458799593082401,0.2537313432835821,7.335820895522388,0.02987305040210538,1.293652085452696
95,frozenset({'Japanese-Style'}),frozenset({'Role-Playing'}),0.03458799593082401,0.1363173957273652,0.03458799593082401,1.0,7.335820895522389,0.02987305040210538,inf
96,frozenset({'Kart'}),frozenset({'Racing'}),0.01627670396744659,0.044760935910478125,0.01627670396744659,1.0,22.340909090909093,0.015548143464325889,inf
97,frozenset({'Racing'}),frozenset({'Kart'}),0.044760935910478125,0.01627670396744659,0.01627670396744659,0.36363636363636365,22.340909090909093,0.015548143464325889,1.545850893765441
98,frozenset({'Puzzle'}),frozenset({'Logic'}),0.10681586978636826,0.011190233977619531,0.011190233977619531,0.10476190476190476,9.361904761904762,0.00999493940218713,1.104521547152659
99,frozenset({'Logic'}),frozenset({'Puzzle'}),0.011190233977619531,0.10681586978636826,0.011190233977619531,1.0,9.361904761904762,0.00999493940218713,inf
100,frozenset({'Miscellaneous'}),frozenset({'Matching'}),0.2685656154628688,0.02034587995930824,0.015259409969481181,0.056818181818181816,2.7926136363636362,0.009795206196075917,1.038669428476878
101,frozenset({'Matching'}),frozenset({'Miscellaneous'}),0.02034587995930824,0.2685656154628688,0.015259409969481181,0.75,2.7926136363636362,0.009795206196075917,2.9257375381485247
102,frozenset({'Puzzle'}),frozenset({'Matching'}),0.10681586978636826,0.02034587995930824,0.02034587995930824,0.1904761904761905,9.361904761904762,0.01817261709488569,1.2101609718149722
103,frozenset({'Matching'}),frozenset({'Puzzle'}),0.02034587995930824,0.10681586978636826,0.02034587995930824,1.0,9.361904761904762,0.01817261709488569,inf
104,frozenset({'Music'}),frozenset({'Miscellaneous'}),0.028484231943031537,0.2685656154628688,0.022380467955239063,0.7857142857142856,2.9255952380952377,0.014730582672471692,3.413360461173277
105,frozenset({'Miscellaneous'}),frozenset({'Music'}),0.2685656154628688,0.028484231943031537,0.022380467955239063,0.08333333333333333,2.9255952380952377,0.014730582672471692,1.0598353833348748
106,frozenset({'Music Maker'}),frozenset({'Miscellaneous'}),0.01017293997965412,0.2685656154628688,0.01017293997965412,1.0,3.723484848484848,0.0074408380929514885,inf
107,frozenset({'Miscellaneous'}),frozenset({'Music Maker'}),0.2685656154628688,0.01017293997965412,0.01017293997965412,0.03787878787878788,3.723484848484848,0.0074408380929514885,1.0287966293124855
108,frozenset({'Party'}),frozenset({'Miscellaneous'}),0.02034587995930824,0.2685656154628688,0.02034587995930824,1.0,3.723484848484848,0.014881676185902977,inf
109,frozenset({'Miscellaneous'}),frozenset({'Party'}),0.2685656154628688,0.02034587995930824,0.02034587995930824,0.07575757575757576,3.723484848484848,0.014881676185902977,1.059953638076814
110,frozenset({'Miscellaneous'}),frozenset({'Party / Minigame'}),0.2685656154628688,0.028484231943031537,0.028484231943031537,0.10606060606060606,3.7234848484848486,0.020834346660264166,1.0867803507077953
111,frozenset({'Party / Minigame'}),frozenset({'Miscellaneous'}),0.028484231943031537,0.2685656154628688,0.028484231943031537,1.0,3.723484848484848,0.020834346660264166,inf
112,frozenset({'Miscellaneous'}),frozenset({'Puzzle'}),0.2685656154628688,0.10681586978636826,0.07833163784333673,0.2916666666666667,2.7305555555555556,0.049644568032959094,1.2609658308898333
113,frozenset({'Puzzle'}),frozenset({'Miscellaneous'}),0.10681586978636826,0.2685656154628688,0.07833163784333673,0.7333333333333334,2.7305555555555556,0.049644568032959094,2.7428789420142423
114,frozenset({'Rhythm'}),frozenset({'Miscellaneous'}),0.029501525940996948,0.2685656154628688,0.023397761953204477,0.7931034482758621,2.953108672936259,0.015474666481766843,3.535266191929468
115,frozenset({'Miscellaneous'}),frozenset({'Rhythm'}),0.2685656154628688,0.029501525940996948,0.023397761953204477,0.08712121212121213,2.9531086729362594,0.015474666481766843,1.0631186603799867
116,frozenset({'Simulation'}),frozenset({'Miscellaneous'}),0.03763987792472025,0.2685656154628688,0.015259409969481181,0.4054054054054054,1.5095208845208843,0.005150632988681439,1.2301396467215386
117,frozenset({'Miscellaneous'}),frozenset({'Simulation'}),0.2685656154628688,0.03763987792472025,0.015259409969481181,0.056818181818181816,1.5095208845208843,0.005150632988681439,1.020333623405116
118,frozenset({'Virtual'}),frozenset({'Miscellaneous'}),0.024415055951169887,0.2685656154628688,0.015259409969481181,0.625,2.3271780303030303,0.008702365441394862,1.9504916920990165
119,frozenset({'Miscellaneous'}),frozenset({'Virtual'}),0.2685656154628688,0.024415055951169887,0.015259409969481181,0.056818181818181816,2.3271780303030303,0.008702365441394862,1.0343551214011693
120,frozenset({'Miscellaneous'}),frozenset({'Virtual Life'}),0.2685656154628688,0.02034587995930824,0.015259409969481181,0.056818181818181816,2.7926136363636362,0.009795206196075917,1.038669428476878
121,frozenset({'Virtual Life'}),frozenset({'Miscellaneous'}),0.02034587995930824,0.2685656154628688,0.015259409969481181,0.75,2.7926136363636362,0.009795206196075917,2.9257375381485247
122,frozenset({'Music Maker'}),frozenset({'Music'}),0.01017293997965412,0.028484231943031537,0.01017293997965412,1.0,35.107142857142854,0.009883171597731114,inf
123,frozenset({'Music'}),frozenset({'Music Maker'}),0.028484231943031537,0.01017293997965412,0.01017293997965412,0.35714285714285715,35.107142857142854,0.009883171597731114,1.5397309822538716
124,frozenset({'Rhythm'}),frozenset({'Music'}),0.029501525940996948,0.028484231943031537,0.028484231943031537,0.9655172413793104,33.89655172413793,0.027643903635454818,28.17395727365212
125,frozenset({'Music'}),frozenset({'Rhythm'}),0.028484231943031537,0.029501525940996948,0.028484231943031537,1.0,33.89655172413793,0.027643903635454818,inf
126,frozenset({'Music Maker'}),frozenset({'Rhythm'}),0.01017293997965412,0.029501525940996948,0.01017293997965412,1.0,33.89655172413793,0.009872822726948149,inf
127,frozenset({'Rhythm'}),frozenset({'Music Maker'}),0.029501525940996948,0.01017293997965412,0.01017293997965412,0.3448275862068966,33.89655172413793,0.009872822726948149,1.51078867055737
128,frozenset({'Party'}),frozenset({'Party / Minigame'}),0.02034587995930824,0.028484231943031537,0.013224821973550356,0.6499999999999999,22.819642857142853,0.012645285209704343,2.7757593373056237
129,frozenset({'Party / Minigame'}),frozenset({'Party'}),0.028484231943031537,0.02034587995930824,0.013224821973550356,0.46428571428571425,22.819642857142853,0.012645285209704343,1.8286876907426242
130,frozenset({'Real-Time'}),frozenset({'Strategy'}),0.01017293997965412,0.0844354018311292,0.01017293997965412,1.0,11.843373493975903,0.009313983704668065,inf
131,frozenset({'Strategy'}),frozenset({'Real-Time'}),0.0844354018311292,0.01017293997965412,0.01017293997965412,0.12048192771084337,11.843373493975903,0.009313983704668065,1.1254198079683384
132,frozenset({'Role-Playing'}),frozenset({'Trainer'}),0.1363173957273652,0.038657171922685654,0.038657171922685654,0.2835820895522388,7.335820895522388,0.033387526920000125,1.3418743641912512
133,frozenset({'Trainer'}),frozenset({'Role-Playing'}),0.038657171922685654,0.1363173957273652,0.038657171922685654,1.0,7.335820895522389,0.033387526920000125,inf
134,frozenset({'Sci-Fi'}),frozenset({'Shooter'}),0.017293997965412006,0.03662258392675483,0.011190233977619531,0.6470588235294117,17.66830065359477,0.010556883085702103,2.7295693455408605
135,frozenset({'Shooter'}),frozenset({'Sci-Fi'}),0.03662258392675483,0.017293997965412006,0.011190233977619531,0.3055555555555555,17.668300653594766,0.010556883085702103,1.4150966429298069
136,frozenset({'Third-Person'}),frozenset({'Shooter'}),0.014242115971515769,0.03662258392675483,0.01017293997965412,0.7142857142857143,19.503968253968253,0.009651356892192708,3.371820956256358
137,frozenset({'Shooter'}),frozenset({'Third-Person'}),0.03662258392675483,0.014242115971515769,0.01017293997965412,0.2777777777777778,19.503968253968253,0.009651356892192708,1.3648955317317473
138,frozenset({'Simulation'}),frozenset({'Virtual'}),0.03763987792472025,0.024415055951169887,0.024415055951169887,0.6486486486486486,26.567567567567565,0.023496076225642638,2.776664840754362
139,frozenset({'Virtual'}),frozenset({'Simulation'}),0.024415055951169887,0.03763987792472025,0.024415055951169887,1.0,26.567567567567565,0.023496076225642638,inf
140,frozenset({'Simulation'}),frozenset({'Virtual Life'}),0.03763987792472025,0.02034587995930824,0.019328585961342827,0.5135135135135135,25.239189189189187,0.018562769523403452,2.013733468972533
141,frozenset({'Virtual Life'}),frozenset({'Simulation'}),0.02034587995930824,0.03763987792472025,0.019328585961342827,0.9499999999999998,25.239189189189183,0.018562769523403452,19.247202441505536
142,frozenset({'Soccer'}),frozenset({'Sports'}),0.01017293997965412,0.06408952187182096,0.01017293997965412,1.0,15.603174603174603,0.009520961120327355,inf
143,frozenset({'Sports'}),frozenset({'Soccer'}),0.06408952187182096,0.01017293997965412,0.01017293997965412,0.15873015873015872,15.603174603174601,0.009520961120327355,1.1765868826656942
144,frozenset({'Soccer'}),frozenset({'Traditional'}),0.01017293997965412,0.03967446592065107,0.01017293997965412,1.0,25.205128205128204,0.009769334019118505,inf
145,frozenset({'Traditional'}),frozenset({'Soccer'}),0.03967446592065107,0.01017293997965412,0.01017293997965412,0.25641025641025644,25.205128205128208,0.009769334019118505,1.3311467358894307
146,frozenset({'Sports'}),frozenset({'Traditional'}),0.06408952187182096,0.03967446592065107,0.03967446592065107,0.6190476190476191,15.603174603174603,0.037131748369276685,2.520854526958291
147,frozenset({'Traditional'}),frozenset({'Sports'}),0.03967446592065107,0.06408952187182096,0.03967446592065107,1.0,15.603174603174603,0.037131748369276685,inf
148,frozenset({'Tactics'}),frozenset({'Strategy'}),0.06408952187182096,0.0844354018311292,0.06408952187182096,1.0,11.843373493975903,0.05867809733940881,inf
149,frozenset({'Strategy'}),frozenset({'Tactics'}),0.0844354018311292,0.06408952187182096,0.06408952187182096,0.7590361445783133,11.843373493975903,0.05867809733940881,3.8840284842319432
150,frozenset({'Turn-Based'}),frozenset({'Strategy'}),0.07222787385554426,0.0844354018311292,0.07222787385554426,1.0,11.843373493975903,0.06612928430314327,inf
151,frozenset({'Strategy'}),frozenset({'Turn-Based'}),0.0844354018311292,0.07222787385554426,0.07222787385554426,0.8554216867469879,11.843373493975902,0.06612928430314327,6.417090539165818
152,frozenset({'Tactics'}),frozenset({'Turn-Based'}),0.06408952187182096,0.07222787385554426,0.06307222787385554,0.984126984126984,13.625307399955284,0.05844317797263551,58.4496439471001
153,frozenset({'Turn-Based'}),frozenset({'Tactics'}),0.07222787385554426,0.06408952187182096,0.06307222787385554,0.8732394366197181,13.625307399955284,0.05844317797263551,7.38329377190007
154,frozenset({'Virtual'}),frozenset({'Virtual Life'}),0.024415055951169887,0.02034587995930824,0.019328585961342827,0.7916666666666666,38.91041666666666,0.018831840163760532,4.70233977619532
155,frozenset({'Virtual Life'}),frozenset({'Virtual'}),0.02034587995930824,0.024415055951169887,0.019328585961342827,0.9499999999999998,38.91041666666666,0.018831840163760532,19.511698880976542
156,"frozenset({'Action', '2D'})",frozenset({'Fighting'}),0.14038657171922686,0.03458799593082401,0.021363173957273652,0.15217391304347824,4.399616368286444,0.0165074837859067,1.138691081722618
157,"frozenset({'Action', 'Fighting'})",frozenset({'2D'}),0.03458799593082401,0.14038657171922686,0.021363173957273652,0.6176470588235293,4.399616368286444,0.0165074837859067,2.24821973550356
